iter	Logloss
0	0.687705238
1	0.6823584218
2	0.6782816439
3	0.6730884881
4	0.6686978569
5	0.6644456272
6	0.6598530242
7	0.6543476726
8	0.6490351765
9	0.644635624
10	0.6406445976
11	0.6367668176
12	0.6333470451
13	0.629187002
14	0.6255789077
15	0.6220449137
16	0.618950012
17	0.6155503733
18	0.6122929387
19	0.6095320729
20	0.6056220204
21	0.6029705499
22	0.5996931277
23	0.5959698857
24	0.5931343347
25	0.5900135467
26	0.5875442066
27	0.5850627278
28	0.5826189815
29	0.5802519192
30	0.578044221
31	0.5760329371
32	0.5734729706
33	0.5708778064
34	0.5683581075
35	0.5658152035
36	0.5637732558
37	0.5613384308
38	0.5594034408
39	0.5573656369
40	0.5549312506
41	0.5530147857
42	0.5508117188
43	0.5489566791
44	0.5474269977
45	0.5454816727
46	0.5437584533
47	0.5419472399
48	0.5401957454
49	0.5385309774
50	0.536896142
51	0.5356181087
52	0.5342501802
53	0.5331622724
54	0.53224499
55	0.5309518442
56	0.5301232871
57	0.5284356553
58	0.5267267684
59	0.525097783
60	0.5238468548
61	0.5226017279
62	0.521372591
63	0.5199875999
64	0.5192273905
65	0.5180761075
66	0.5170964738
67	0.5157429753
68	0.5141272499
69	0.5128178216
70	0.5112049724
71	0.5099220154
72	0.5088759352
73	0.5073872039
74	0.5063705201
75	0.5053840613
76	0.5044379676
77	0.5034927514
78	0.5030421053
79	0.5019809126
80	0.5006144466
81	0.4997915932
82	0.4989274973
83	0.4977999556
84	0.4967465629
85	0.4959384321
86	0.4953998407
87	0.4944888959
88	0.4938045904
89	0.49265828
90	0.4916685549
91	0.4903888154
92	0.4895519708
93	0.4886256209
94	0.4878299213
95	0.4872034335
96	0.4864431753
97	0.4855722056
98	0.4848086811
99	0.4842482009
100	0.483596948
101	0.482734217
102	0.4821769056
103	0.4814931851
104	0.4811494967
105	0.4804895176
106	0.4797294056
107	0.4790941915
108	0.4783663521
109	0.4773815021
110	0.4766831078
111	0.475893502
112	0.475377677
113	0.4745018322
114	0.4737614153
115	0.4731337575
116	0.4725123396
117	0.4719282156
118	0.4713702705
119	0.4706737774
120	0.4700951134
121	0.4695799709
122	0.4690446458
123	0.4686135972
124	0.4679431854
125	0.4675555732
126	0.4668290501
127	0.4660991632
128	0.4654752591
129	0.4649779103
130	0.4644019764
131	0.4640741805
132	0.4632360196
133	0.4628807775
134	0.462320541
135	0.4617010245
136	0.4613379335
137	0.4608922111
138	0.4604246974
139	0.4599812663
140	0.4595046363
141	0.45899237
142	0.4585196401
143	0.4580281901
144	0.4574563998
145	0.4570676663
146	0.4565110374
147	0.4560761376
148	0.4556263689
149	0.4550527262
150	0.4543073368
151	0.4537739617
152	0.4534068732
153	0.4531578576
154	0.4527308552
155	0.4523082404
156	0.451968647
157	0.4515841061
158	0.4510267459
159	0.4506054473
160	0.4502386026
161	0.4499760832
162	0.4494653281
163	0.4490060045
164	0.4485691546
165	0.4482693901
166	0.4478866041
167	0.4473951541
168	0.4469705892
169	0.4465500707
170	0.446185761
171	0.4458759052
172	0.4456375171
173	0.4453341451
174	0.4447821474
175	0.4444815054
176	0.4440498718
177	0.4438756388
178	0.4435473555
179	0.4431890908
180	0.4428447687
181	0.4426976408
182	0.4424740727
183	0.4419479614
184	0.4416334256
185	0.4413771949
186	0.4409952864
187	0.4404419725
188	0.440042904
189	0.4396998006
190	0.4391129466
191	0.4386509417
192	0.4384478974
193	0.4380402001
194	0.4378203371
195	0.4375254476
196	0.4373521409
197	0.4370885002
198	0.4367498331
199	0.4364186247
200	0.4359428235
201	0.4356857154
202	0.4353402232
203	0.4349111734
204	0.4347193416
205	0.4344561885
206	0.4342727417
207	0.4339363659
208	0.4336904702
209	0.4333260143
210	0.4330641286
211	0.4327331153
212	0.4323310243
213	0.4320032284
214	0.4317601603
215	0.4314026269
216	0.4309762583
217	0.4306480725
218	0.4303389967
219	0.4299341756
220	0.4295527547
221	0.429084656
222	0.4286988962
223	0.4282207062
224	0.4277998464
225	0.4274936469
226	0.427327604
227	0.4269500342
228	0.4266069796
229	0.4262099098
230	0.4258851853
231	0.425578937
232	0.4254371716
233	0.4250251843
234	0.4246347933
235	0.4244014265
236	0.4242639511
